homemade_pizza_dough_7	7	homemade_pizza_dough_2	6
homemade_pizza_dough_7	19	homemade_pizza_dough_2	14
homemade_pizza_dough_7	32	homemade_pizza_dough_2	24
homemade_pizza_dough_7	38	homemade_pizza_dough_2	0
homemade_pizza_dough_7	48	homemade_pizza_dough_2	6
homemade_pizza_dough_7	53	homemade_pizza_dough_2	24
homemade_pizza_dough_7	60	homemade_pizza_dough_2	6
homemade_pizza_dough_7	68	homemade_pizza_dough_2	0
homemade_pizza_dough_7	71	homemade_pizza_dough_2	0
homemade_pizza_dough_7	78	homemade_pizza_dough_2	42
homemade_pizza_dough_7	83	homemade_pizza_dough_2	0
homemade_pizza_dough_7	86	homemade_pizza_dough_2	64
homemade_pizza_dough_7	91	homemade_pizza_dough_2	46
homemade_pizza_dough_7	96	homemade_pizza_dough_2	46
homemade_pizza_dough_7	101	homemade_pizza_dough_2	52
homemade_pizza_dough_7	104	homemade_pizza_dough_2	56
homemade_pizza_dough_7	117	homemade_pizza_dough_2	120
homemade_pizza_dough_7	125	homemade_pizza_dough_2	111
homemade_pizza_dough_7	131	homemade_pizza_dough_2	12
homemade_pizza_dough_7	133	homemade_pizza_dough_2	89
homemade_pizza_dough_7	140	homemade_pizza_dough_2	52
homemade_pizza_dough_7	145	homemade_pizza_dough_2	141
homemade_pizza_dough_7	153	homemade_pizza_dough_2	0
homemade_pizza_dough_7	159	homemade_pizza_dough_2	0
homemade_pizza_dough_7	178	homemade_pizza_dough_2	0
homemade_pizza_dough_7	188	homemade_pizza_dough_2	86
homemade_pizza_dough_7	189	homemade_pizza_dough_2	89
homemade_pizza_dough_7	191	homemade_pizza_dough_2	134
homemade_pizza_dough_3	8	homemade_pizza_dough_7	38
homemade_pizza_dough_3	14	homemade_pizza_dough_7	7
homemade_pizza_dough_3	24	homemade_pizza_dough_7	7
homemade_pizza_dough_3	27	homemade_pizza_dough_7	19
homemade_pizza_dough_3	28	homemade_pizza_dough_7	19
homemade_pizza_dough_3	36	homemade_pizza_dough_7	0
homemade_pizza_dough_3	41	homemade_pizza_dough_7	7
homemade_pizza_dough_3	54	homemade_pizza_dough_7	48
homemade_pizza_dough_3	94	homemade_pizza_dough_7	104
homemade_pizza_dough_3	114	homemade_pizza_dough_7	71
homemade_pizza_dough_3	121	homemade_pizza_dough_7	86
homemade_pizza_dough_3	128	homemade_pizza_dough_7	96
homemade_pizza_dough_3	136	homemade_pizza_dough_7	96
homemade_pizza_dough_3	148	homemade_pizza_dough_7	125
homemade_pizza_dough_3	153	homemade_pizza_dough_7	131
homemade_pizza_dough_3	157	homemade_pizza_dough_7	133
homemade_pizza_dough_3	180	homemade_pizza_dough_7	125
homemade_pizza_dough_3	188	homemade_pizza_dough_7	133
homemade_pizza_dough_3	191	homemade_pizza_dough_7	145
homemade_pizza_dough_3	197	homemade_pizza_dough_7	140
homemade_pizza_dough_3	200	homemade_pizza_dough_7	117
homemade_pizza_dough_3	207	homemade_pizza_dough_7	131
homemade_pizza_dough_3	213	homemade_pizza_dough_7	145
homemade_pizza_dough_3	216	homemade_pizza_dough_7	145
homemade_pizza_dough_3	222	homemade_pizza_dough_7	159
homemade_pizza_dough_3	227	homemade_pizza_dough_7	0
homemade_pizza_dough_3	253	homemade_pizza_dough_7	0
homemade_pizza_dough_3	264	homemade_pizza_dough_7	0
